Type:,Concentration:,Percent Component 1:,Percent Component 2:,Percent Component 3:,Percent Component 4:,Percent Component 5:,Percent Component 6:
MV,5025,0.25000,0.05000,0.05000,0.00000,0.00000,0.00000
MV,5050,0.50000,0.10000,0.10000,0.00000,0.00000,0.00000
MV,5075,0.75000,0.15000,0.15000,0.00000,0.00000,0.00000
MV,5100,1.00000,0.20000,0.20000,0.00000,0.00000,0.00000
MV,5125,1.25000,0.25000,0.25000,0.00000,0.00000,0.00000
MV,5150,1.50000,0.30000,0.30000,0.00000,0.00000,0.00000
MV,5175,1.75000,0.35000,0.35000,0.00000,0.00000,0.00000
MV,5200,2.00000,0.40000,0.40000,0.00000,0.00000,0.00000
MV,5225,2.25000,0.45000,0.45000,0.00000,0.00000,0.00000
MV,5250,2.50000,0.50000,0.50000,0.00000,0.00000,0.00000
MV,5275,2.75000,0.55000,0.55000,0.00000,0.00000,0.00000
MV,5300,3.00000,0.60000,0.60000,0.00000,0.00000,0.00000
MV,5325,3.25000,0.65000,0.65000,0.00000,0.00000,0.00000
MV,5350,3.50000,0.70000,0.70000,0.00000,0.00000,0.00000
MV,5375,3.75000,0.75000,0.75000,0.00000,0.00000,0.00000
MV,5400,4.00000,0.80000,0.80000,0.00000,0.00000,0.00000
MV,5425,4.25000,0.85000,0.85000,0.00000,0.00000,0.00000
MV,5450,4.50000,0.90000,0.90000,0.00000,0.00000,0.00000
MV,5475,4.75000,0.95000,0.95000,0.00000,0.00000,0.00000
MV,5500,5.00000,1.00000,1.00000,0.00000,0.00000,0.00000
MV,5525,5.25000,1.05000,1.05000,0.00000,0.00000,0.00000
MV,5550,5.50000,1.10000,1.10000,0.00000,0.00000,0.00000
MV,5575,5.75000,1.15000,1.15000,0.00000,0.00000,0.00000
MV,5600,6.00000,1.20000,1.20000,0.00000,0.00000,0.00000
MV,5625,6.25000,1.25000,1.25000,0.00000,0.00000,0.00000
MV,5650,6.50000,1.30000,1.30000,0.00000,0.00000,0.00000
MV,5675,6.75000,1.35000,1.35000,0.00000,0.00000,0.00000
MV,5700,7.00000,1.40000,1.40000,0.00000,0.00000,0.00000
MV,5725,7.25000,1.45000,1.45000,0.00000,0.00000,0.00000
MV,5750,7.50000,1.50000,1.50000,0.00000,0.00000,0.00000
MV,5775,7.75000,1.55000,1.55000,0.00000,0.00000,0.00000
MV,5800,8.00000,1.60000,1.60000,0.00000,0.00000,0.00000
MV,5825,8.25000,1.65000,1.65000,0.00000,0.00000,0.00000
MV,5850,8.50000,1.70000,1.70000,0.00000,0.00000,0.00000
MV,5875,8.75000,1.75000,1.75000,0.00000,0.00000,0.00000
MV,5900,9.00000,1.80000,1.80000,0.00000,0.00000,0.00000
MV,5925,9.25000,1.85000,1.85000,0.00000,0.00000,0.00000
MV,5950,9.50000,1.90000,1.90000,0.00000,0.00000,0.00000
MV,5975,9.75000,1.95000,1.95000,0.00000,0.00000,0.00000
MV S,5025,0.25000,0.05000,0.05000,2.00000,0.00000,0.00000
MV S,5050,0.50000,0.10000,0.10000,2.00000,0.00000,0.00000
MV S,5075,0.75000,0.15000,0.15000,2.00000,0.00000,0.00000
MV S,5100,1.00000,0.20000,0.20000,2.00000,0.00000,0.00000
MV S,5125,1.25000,0.25000,0.25000,2.00000,0.00000,0.00000
MV S,5150,1.50000,0.30000,0.30000,2.00000,0.00000,0.00000
MV S,5175,1.75000,0.35000,0.35000,2.00000,0.00000,0.00000
MV S,5200,2.00000,0.40000,0.40000,2.00000,0.00000,0.00000
MV S,5225,2.25000,0.45000,0.45000,2.00000,0.00000,0.00000
MV S,5250,2.50000,0.50000,0.50000,2.00000,0.00000,0.00000
MV S,5275,2.75000,0.55000,0.55000,2.00000,0.00000,0.00000
MV S,5300,3.00000,0.60000,0.60000,2.00000,0.00000,0.00000
MV S,5325,3.25000,0.65000,0.65000,2.00000,0.00000,0.00000
MV S,5350,3.50000,0.70000,0.70000,2.00000,0.00000,0.00000
MV S,5375,3.75000,0.75000,0.75000,2.00000,0.00000,0.00000
MV S,5400,4.00000,0.80000,0.80000,2.00000,0.00000,0.00000
MV S,5425,4.25000,0.85000,0.85000,2.00000,0.00000,0.00000
MV S,5450,4.50000,0.90000,0.90000,2.00000,0.00000,0.00000
MV S,5475,4.75000,0.95000,0.95000,2.00000,0.00000,0.00000
MV S,5500,5.00000,1.00000,1.00000,2.00000,0.00000,0.00000
MV S,5525,5.25000,1.05000,1.05000,2.00000,0.00000,0.00000
MV S,5550,5.50000,1.10000,1.10000,2.00000,0.00000,0.00000
MV S,5575,5.75000,1.15000,1.15000,2.00000,0.00000,0.00000
MV S,5600,6.00000,1.20000,1.20000,2.00000,0.00000,0.00000
MV S,5625,6.25000,1.25000,1.25000,2.00000,0.00000,0.00000
MV S,5650,6.50000,1.30000,1.30000,2.00000,0.00000,0.00000
MV S,5675,6.75000,1.35000,1.35000,2.00000,0.00000,0.00000
MV S,5700,7.00000,1.40000,1.40000,2.00000,0.00000,0.00000
MV S,5725,7.25000,1.45000,1.45000,2.00000,0.00000,0.00000
MV S,5750,7.50000,1.50000,1.50000,2.00000,0.00000,0.00000
MV S,5775,7.75000,1.55000,1.55000,2.00000,0.00000,0.00000
MV S,5800,8.00000,1.60000,1.60000,2.00000,0.00000,0.00000
MV S,5825,8.25000,1.65000,1.65000,2.00000,0.00000,0.00000
MV S,5850,8.50000,1.70000,1.70000,2.00000,0.00000,0.00000
MV S,5875,8.75000,1.75000,1.75000,2.00000,0.00000,0.00000
MV S,5900,9.00000,1.80000,1.80000,2.00000,0.00000,0.00000
MV S,5925,9.25000,1.85000,1.85000,2.00000,0.00000,0.00000
MV S,5950,9.50000,1.90000,1.90000,2.00000,0.00000,0.00000
MV S,5975,9.75000,1.95000,1.95000,2.00000,0.00000,0.00000
UM,5100,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
UM,5125,1.25000,0.00000,0.00000,0.00000,0.00000,0.00000
UM,5150,1.50000,0.00000,0.00000,0.00000,0.00000,0.00000
UM,5175,1.75000,0.00000,0.00000,0.00000,0.00000,0.00000
UM,5200,2.00000,0.00000,0.00000,0.00000,0.00000,0.00000
UM,5225,2.25000,0.00000,0.00000,0.00000,0.00000,0.00000
UM,5250,2.50000,0.00000,0.00000,0.00000,0.00000,0.00000
UM,5275,2.75000,0.00000,0.00000,0.00000,0.00000,0.00000
UM,5300,3.00000,0.00000,0.00000,0.00000,0.00000,0.00000
UM,5325,3.25000,0.00000,0.00000,0.00000,0.00000,0.00000
UM,5350,3.50000,0.00000,0.00000,0.00000,0.00000,0.00000
UM,5375,3.75000,0.00000,0.00000,0.00000,0.00000,0.00000
UM,5400,4.00000,0.00000,0.00000,0.00000,0.00000,0.00000
UM,5425,4.25000,0.00000,0.00000,0.00000,0.00000,0.00000
UM,5450,4.50000,0.00000,0.00000,0.00000,0.00000,0.00000
UM,5475,4.75000,0.00000,0.00000,0.00000,0.00000,0.00000
UM,5500,5.00000,0.00000,0.00000,0.00000,0.00000,0.00000
UM,5525,5.25000,0.00000,0.00000,0.00000,0.00000,0.00000
UM,5550,5.50000,0.00000,0.00000,0.00000,0.00000,0.00000
UM,5575,5.75000,0.00000,0.00000,0.00000,0.00000,0.00000
UM,5600,6.00000,0.00000,0.00000,0.00000,0.00000,0.00000
UM,5625,6.25000,0.00000,0.00000,0.00000,0.00000,0.00000
UM,5650,6.50000,0.00000,0.00000,0.00000,0.00000,0.00000
UM,5675,6.75000,0.00000,0.00000,0.00000,0.00000,0.00000
UM,5700,7.00000,0.00000,0.00000,0.00000,0.00000,0.00000
UM,5725,7.25000,0.00000,0.00000,0.00000,0.00000,0.00000
UM,5750,7.50000,0.00000,0.00000,0.00000,0.00000,0.00000
LG,5050,0.500000,0.250000,0.400000,0.00000,0.00000,0.00000
LG,5100,1.000000,0.250000,0.400000,0.00000,0.00000,0.00000
LG,5125,1.250000,0.250000,0.400000,0.00000,0.00000,0.00000
LG,5150,1.500000,0.250000,0.400000,0.00000,0.00000,0.00000
LG,5200,2.000000,0.250000,0.400000,0.00000,0.00000,0.00000
LG,5250,2.500000,0.250000,0.400000,0.00000,0.00000,0.00000
LG,5310,3.100000,1.000000,0.400000,0.00000,0.00000,0.00000
LG,5375,3.750000,1.250000,0.400000,0.00000,0.00000,0.00000
LG,5400,4.000000,1.500000,0.400000,0.00000,0.00000,0.00000
LG,5500,5.000000,1.500000,0.400000,0.00000,0.00000,0.00000
LG,5650,6.500000,1.500000,0.400000,0.00000,0.00000,0.00000
LG,7500,7.500000,1.500000,0.400000,0.00000,0.00000,0.00000
LG,9750,9.750000,1.500000,0.400000,0.00000,0.00000,0.00000
LG S,5050,0.500000,0.250000,0.400000,2.000000,0.00000,0.00000
LG S,5100,1.000000,0.250000,0.400000,2.000000,0.00000,0.00000
LG S,5125,1.250000,0.250000,0.400000,2.000000,0.00000,0.00000
LG S,5150,1.500000,0.250000,0.400000,2.000000,0.00000,0.00000
LG S,5200,2.000000,0.250000,0.400000,2.000000,0.00000,0.00000
LG S,5250,2.500000,0.250000,0.400000,2.000000,0.00000,0.00000
LG S,5310,3.100000,1.000000,0.400000,2.000000,0.00000,0.00000
LG S,5375,3.750000,1.250000,0.400000,2.000000,0.00000,0.00000
LG S,5400,4.000000,1.500000,0.400000,2.000000,0.00000,0.00000
LG S,5500,5.000000,1.500000,0.400000,2.000000,0.00000,0.00000
LG S,5650,6.500000,1.500000,0.400000,2.000000,0.00000,0.00000
LG S,7500,7.500000,1.500000,0.400000,2.000000,0.00000,0.00000
LG S,9750,9.750000,1.500000,0.400000,2.000000,0.00000,0.00000
MW,5125,1.250000,0.500000,0.000000,0.000000,0.000000,0.000000
MW,5150,1.500000,0.600000,0.000000,0.000000,0.000000,0.000000
MW,5200,2.000000,0.800000,0.000000,0.000000,0.000000,0.000000
MW,5250,2.500000,1.000000,0.000000,0.000000,0.000000,0.000000
MW,5375,3.750000,1.500000,0.000000,0.000000,0.000000,0.000000
MW,5500,5.000000,2.000000,0.000000,0.000000,0.000000,0.000000
MW,7500,7.500000,3.000000,0.000000,0.000000,0.000000,0.000000
ELAN,1350,2.000000,2.000000,2.000000,0.000000,0.000000,0.000000
ELAN,1351,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000