TYPE:,REF-NUMBER:,RANK:,COMPONENT 1:,COMPONENT 2:,COMPONENT 3:,COMPONENT 4:,COMPONENT 5:,COMPONENT 6:,COST COMPONENT 1:,COST COMPONENT 2:,COST COMPONENT 3:,COST COMPONENT 4:,COST COMPONENT 5:,COST COMPONENT 6:
NORR,027-003,PRIMARY,DT-FWR 027,DT-CFL 003,WATER,DT-CLH 004,NULL,NULL,135,96.24,0,25.81,0,0
NORR,001-003,PRIMARY,DT-NNL 001,DT-CFL 003,WATER,DT-CLH 004,NULL,NULL,144.87,96.24,0,25.81,0,0
NORR,043-003,PRIMARY,DT-FWR 043,DT-CFL 003,WATER,DT-CLH 004,NULL,NULL,105,96.24,0,25.81,0,0
NORR,047-003,PRIMARY,DT-FWR 047,DT-CFL 003,WATER,DT-CLH 004,NULL,NULL,117,96.24,0,25.81,0,0
NORR,001-046,ALTERNATIVE,DT-NNL 001,DT-CLR 046,WATER,DT-CLH 004,NULL,NULL,144.87,86,0,25.81,0,0
NORR,001-049,ALTERNATIVE,DT-NNL 001,DT-CLR 049,WATER,DT-CLH 004,NULL,NULL,144.87,70,0,25.81,0,0
NORR,001-050,ALTERNATIVE,DT-NNL 001,DT-CLR 050,WATER,DT-CLH 004,NULL,NULL,144.87,75,0,25.81,0,0
NORR,005-003,ALTERNATIVE,DT-NNL 005,DT-CFL 003,WATER,DT-CLH 004,NULL,NULL,131.5,96.24,0,25.81,0,0
NORR,009-003,ALTERNATIVE,DT-NNL 009,DT-CFL 003,WATER,DT-CLH 004,NULL,NULL,99.75,96.24,0,25.81,0,0
NORR,027-046,ALTERNATIVE,DT-FWR 027,DT-CLR 046,WATER,DT-CLH 004,NULL,NULL,135,86,0,25.81,0,0
NORR,027-049,ALTERNATIVE,DT-FWR 027,DT-CLR 049,WATER,DT-CLH 004,NULL,NULL,135,70,0,25.81,0,0
NORR,027-050,ALTERNATIVE,DT-FWR 027,DT-CLR 050,WATER,DT-CLH 004,NULL,NULL,135,75,0,25.81,0,0
NORR,042-003,ALTERNATIVE,DT-FWR 042,DT-CFL 003,WATER,DT-CLH 004,NULL,NULL,125,96.24,0,25.81,0,0
NORR,044-003,ALTERNATIVE,DT-FWR 044,DT-CFL 003,WATER,DT-CLH 004,NULL,NULL,146,96.24,0,25.81,0,0
NORR,044-046,ALTERNATIVE,DT-FWR 044,DT-CLR 046,WATER,DT-CLH 004,NULL,NULL,146,86,0,25.81,0,0
NORR,044-049,ALTERNATIVE,DT-FWR 044,DT-CLR 049,WATER,DT-CLH 004,NULL,NULL,146,70,0,25.81,0,0
NORR,047-046,ALTERNATIVE,DT-FWR 047,DT-CLR 046,WATER,DT-CLH 004,NULL,NULL,117,86,0,25.81,0,0
NORR,047-049,ALTERNATIVE,DT-FWR 047,DT-CLR 049,WATER,DT-CLH 004,NULL,NULL,117,70,0,25.81,0,0
NORR,048-003,ALTERNATIVE,DT-FWR 048,DT-CFL 003,WATER,DT-CLH 004,NULL,NULL,104,96.24,0,25.81,0,0
NORR,048-046,ALTERNATIVE,DT-FWR 048,DT-CLR 046,WATER,DT-CLH 004,NULL,NULL,104,70,0,25.81,0,0
NORR,048-049,ALTERNATIVE,DT-FWR 048,DT-CLR 049,WATER,DT-CLH 004,NULL,NULL,104,75,0,25.81,0,0
EVO,025-003,PRIMARY,DT-FFR 025,DT-CFL 003,WATER,DT-CLH 004,NULL,NULL,85,96.24,0,25.81,0,0
EVO,015-003,PRIMARY,DT-W 015,DT-CFL 003,WATER,DT-CLH 004,NULL,NULL,130,96.24,0,25.81,0,0
EVO,032-003,PRIMARY,DT-FFR 032,DT-CFL 003,WATER,DT-CLH 004,NULL,NULL,70,96.24,0,25.81,0,0
EVO,006-003,ALTERNATIVE,DT-SHP 006,DT-CFL 003,WATER,DT-CLH 004,NULL,NULL,56.99,96.24,0,25.81,0,0
EVO,024-003,ALTERNATIVE,DT-FFR-024,DT-CFL 003,WATER,DT-CLH 004,NULL,NULL,70,96.24,0,25.81,0,0
ELAN,010-051,PRIMARY,DT-WIK 010,DT-ATO 051,WATER,DT-CLH 004,NULL,NULL,51.34,455,0,25.81,0,0
WIK-RELEASE,010,PRIMARY,DT-WIK 010,WATER,WATER,DT-CLH 004,NULL,NULL,51.34,0,0,25.81,0,0
SOFT,004,PRIMARY,DT-CLH-004,WATER,WATER,WATER,WATER,WATER,25.81,0,0,0,0,0